代码,名称,总市值_亿
603728,鸣志电器,256.86
603730,岱美股份,276.74
603733,仙鹤股份,161.71
603737,三棵树,267.75
603738,泰晶科技,167.55
603757,大元泵业,102.19
603766,隆鑫通用,267.99
603773,沃格光电,233.82
603778,国晟科技,107.49
603786,科博达,196.15
603799,华友钴业,1034.41
603800,洪田股份,128.46
603806,福斯特,466.97
603816,顾家家居,236.18
603823,百合花,106.26
603826,坤彩科技,210.12
603833,欧派家居,238.67
603858,步长制药,157.45
603859,能科科技,101.77
603868,飞科电器,162.39
603871,嘉友国际,159.51
603876,鼎胜新材,245.79
603881,数据港,254.31
603882,金域医学,117.79
603885,吉祥航空,259.9
603888,新华网,123.21
603890,春秋电子,110.85
603893,瑞芯微,739.42
603897,长城科技,100.49
603899,晨光股份,212.28
603906,龙蟠科技,142.1
603915,国茂股份,107.43
603919,金徽酒,108.86
603920,世运电路,441.15
603927,中科软,123.08
603929,亚翔集成,322.6
603931,格林达,127.72
603936,博敏电子,151.17
603938,三孚股份,173.37
603939,益丰药房,256.3
603950,长源东谷,236.2
603979,金诚信,462.73
603985,恒润股份,104.04
603986,兆易创新,3118.9
603989,艾华集团,142.8
603992,松霖科技,124.32
603993,洛阳钼业,3232
603997,继峰股份,176.97
605006,山东玻纤,115.12
605016,百龙创园,103.74
605020,永和股份,166.77
605060,联德股份,119.16
605090,九丰能源,255.95
605099,共创草坪,170.22
605111,新洁能,276.65
605117,德业股份,1472.22
605118,力鼎光电,147.19
605123,派克新材,121.16
605133,嵘泰股份,101.84
605168,三人行,103.68
605196,华通线缆,199.51
605198,安德利,153.48
605222,起帆电缆,124.94
605255,天普股份,125.45
605289,罗曼股份,180
605296,神农集团,140.48
605318,法狮龙,115.82
605358,立昂微,371.81
605376,博迁新材,466.51
605389,长龄液压,150.82
605499,东鹏饮料,962.92
605507,国邦医药,119.78
605589,圣泉集团,392.42
605598,上海港湾,112.76
605599,菜百股份,124.52
000001,平安银行,2121.03
000002,万科A,344.95
000006,深振业A,122.85
000009,中国宝安,190.63
000021,深科技,626.31
000027,深圳能源,384.4
000028,国药一致,112.92
000029,深深房A,220.69
000031,大悦城,111.87
000032,深桑达A,179.42
000034,神州数码,219.42
000035,中国天楹,136.24
000039,中集集团,253.62
000050,深天马A,185.6
000060,中金岭南,342.41
000061,农产品,115.91
000062,深圳华强,304.48
000063,中兴通讯,1478.94
000065,北方国际,119.53
000066,中国长城,574.15
000069,华侨城A,133.83
000070,特发信息,154.81
000088,盐田港,141.38
000089,深圳机场,139.45
000099,中信海直,121.02
000100,TCL科技,818.85
000155,川能动力,263.08
000156,华数传媒,118.14
000157,中联重科,509.72
000158,常山北明,243.43
000166,申万宏源,993.82
000301,东方盛虹,796.28
000333,美的集团,5547.01
000338,潍柴动力,1750.47
000400,许继电气,269.31
000401,金隅冀东,104.99
000403,派林生物,121.35
000408,藏格矿业,1210.88
000410,沈阳机床,103.68
000415,渤海租赁,222.19
000420,吉林化纤,109.63
000422,湖北宜化,149.37
000423,东阿阿胶,321.36
000425,徐工机械,874.45
000426,兴业银锡,704.76
000429,粤高速A,182.6
000506,招金黄金,131.78
000510,新金路,101
000513,丽珠集团,175.33
000519,中兵红箭,273.92
000528,柳工,182.67
000534,万泽股份,164.45
000536,华映科技,107.48
000537,绿发电力,225.72
000538,云南白药,885.4
000539,粤电力A,226.92
000543,皖能电力,222.15
000547,航天发展,322.59
000552,甘肃能化,101.71
000553,安道麦A,136.5
000555,神州信息,124.56
000559,万向钱潮,489.86
000563,陕国投A,152.4
000564,供销大集,262.65
000567,海德股份,121.59
000568,泸州老窖,1339.43
000581,威孚高科,153.06
000582,北部湾港,292.68
000591,太阳能,236.94
000592,平潭发展,164.31
000596,古井贡酒,380.12
000598,兴蓉环境,208.84
000600,建投能源,136.8
000603,盛达资源,206.02
000612,焦作万方,137.82
000617,中油资本,986.08
000620,盈新发展,130.81
000623,吉林敖东,205.44
000625,长安汽车,654.76
000628,高新发展,117.05
000629,钒钛股份,317.73
000630,铜陵有色,768.87
000636,风华高科,613.56
000651,格力电器,2162.97
000657,中钨高新,987.99
000661,长春高新,294
000672,上峰水泥,165.18
000680,山推股份,141.46
000681,视觉中国,139.22
000682,东方电子,187.55
000683,博源化工,240.63
000685,中山公用,142.86
000686,东北证券,186.3
000688,国城矿业,499.86
000690,宝新能源,134.6
000700,模塑科技,130.17
000703,恒逸石化,488.55
000708,中信特钢,713.67
000709,河钢股份,230.48
000712,锦龙股份,100.68
000723,美锦能源,190.3
000725,京东方A,1857.06
000727,冠捷科技,124.11
000728,国元证券,311.14
000729,燕京啤酒,320.48
000733,振华科技,285.3
000737,北方铜业,264.73
000738,航发控制,251.73
000739,普洛药业,192.35
000750,国海证券,215.62
000758,中色股份,132.84
000762,西藏矿业,154
000766,通化金马,223.82
000767,晋控电力,162.5
000768,中航西飞,603.87
000776,广发证券,1115.27
000778,新兴铸管,174.82
000783,长江证券,449.59
000785,居然智家,139.89
000786,北新建材,386.9
000791,甘肃能源,190.47
000792,盐湖股份,1628.2
000795,英洛华,100.1
000799,酒鬼酒,148.61
000800,一汽解放,299.19
000801,四川九洲,126.59
000807,云铝股份,988.01
000810,创维数字,127.83
000811,冰轮环境,322.19
000815,美利云,111.73
000825,太钢不锈,220.44
000828,东莞控股,105.2
000830,鲁西化工,247.35
000831,中国稀土,517.88
000833,粤桂股份,105.94
000837,秦川机床,116.86
000839,国安股份,117.2
000858,五粮液,3295.02
000875,电投绿能,239.98
000876,新希望,355.05
000877,天山股份,308.6
000878,云南铜业,355.04
000883,湖北能源,345.36
000887,中鼎股份,278.25
000893,亚钾国际,359.63
000895,双汇发展,866.75
000898,鞍钢股份,162.33
000899,赣能股份,136.99
000901,航天科技,151.74
000902,新洋丰,148.79
000917,电广传媒,112.83
000921,海信家电,226.41
000927,中国铁物,163.36
000932,华菱钢铁,274.79
000933,神火股份,652.88
000935,四川双马,224.76
000937,冀中能源,186.78
000938,紫光股份,819.12
000949,新乡化纤,112.97
000950,重药控股,100.41
